,Unnamed: 0,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,resource,units
5,16,0,0.113370775,0.200509592,0.281386807,0.317514401,0.32651652,0.325989944,0.348735155,0.374468901,0.402432587,0.43158198799999997,0.459023561,FCZ7.Residential.MULTIFAMILY.Refrigerator,MW
6,17,0,0.150439716,0.266070388,0.373392096,0.421332361,0.433277911,0.43257916,0.46276139299999997,0.496909324,0.53401632,0.572696726,0.609110894,FCZ7.Residential.SINGLEFAMILY.Refrigerator,MW
11,22,0,0.13190960699999998,0.267754865,0.414879015,0.5771889060000001,0.754747033,0.94609299,1.147633518,1.353038454,1.5556508340000001,1.749358024,1.948914087,FCZ7.Commercial.College.Cooling,MW
13,24,0,0.287757347,0.5841002120000001,0.905047685,1.259122455,1.6464608509999998,2.063877036,2.5035324080000003,2.951617887,3.393611478,3.816178631,4.251504947,FCZ7.Commercial.Health Care.Cooling,MW
14,25,0,0.057638525999999995,0.116996752,0.18128334399999999,0.252205418,0.32979028,0.413399799,0.501463884,0.591216541,0.679748977,0.764390248,0.851587212,FCZ7.Commercial.Hotel.Cooling,MW
15,26,0,0.250080243,0.5076218720000001,0.786546539,1.0942610259999999,1.430883814,1.793646197,2.175735911,2.565151948,2.9492737289999997,3.316512646,3.694840123,FCZ7.Commercial.Miscellaneous.Cooling,MW
16,27,0,0.68419005,1.388793573,2.151898566,2.993769113,3.914729358,4.9072044560000005,5.952556851000001,7.017953200000001,8.068865091000001,9.073587455,10.10864681,FCZ7.Commercial.Office.Cooling,MW
18,29,0,0.166855416,0.338689124,0.524789756,0.7300991720000001,0.954696423,1.1967342090000002,1.4516673340000001,1.711488638,1.967777574,2.212802136,2.465225069,FCZ7.Commercial.Restaurant.Cooling,MW
19,30,0,0.16628765199999998,0.337536658,0.52300404,0.727614845,0.951447853,1.192662051,1.4467277090000001,1.7056649119999998,1.9610817669999998,2.205272578,2.456836585,FCZ7.Commercial.Retail.Cooling,MW
20,31,0,0.065780347,0.133523315,0.20689081199999998,0.287831096,0.376375332,0.47179524700000003,0.572298965,0.674729776,0.7757680020000001,0.872365411,0.971879522,FCZ7.Commercial.School.Cooling,MW
21,32,0,0.033368047000000005,0.067731662,0.104948402,0.14600655,0.190921913,0.239325067,0.290307053,0.34226658600000004,0.39351971,0.442520164,0.49300015799999997,FCZ7.Commercial.Warehouse.Cooling,MW
27,38,0,0.033524275,0.063825391,0.09116303699999999,0.1828108,0.270923252,0.354757231,0.456896865,0.5546922089999999,0.6499717429999999,0.742053845,0.830374281,FCZ7.Commercial.Office.Ventilation,MW
89,122,0,0.12512657300000002,0.194165228,0.26471172600000004,0.33884616700000003,0.417330209,0.499864481,0.584423786,0.6698713470000001,0.753834518,0.836832604,0.9210580740000001,FCZ7.Commercial.Food.Refrigeration,MW
95,128,0,0.054087768,0.083930724,0.11442546599999999,0.146471149,0.180397009,0.216073641,0.252625621,0.289561563,0.325855856,0.361732978,0.39814065299999996,FCZ7.Commercial.Restaurant.Refrigeration,MW
110,2,0,0.05117957,0.130068716,0.251085092,0.43565813299999995,0.7144580690000001,1.065787295,1.493280635,1.9591271209999999,2.391498108,2.741339545,3.149183507,FCZ7.Residential.MULTIFAMILY.CoolingEff,MW
111,3,0,0.17769981699999998,0.451609638,0.87178878,1.512642066,2.48065914,3.7005040719999998,5.184797284,6.802255879,8.303484693,9.518163899,10.9342328,FCZ7.Residential.SINGLEFAMILY.CoolingEff,MW
114,8,0,0.49591227299999996,0.731836987,0.865451738,0.990448525,1.138711686,1.3204593059999998,1.5287867640000001,1.725487985,1.874775685,1.9814616269999998,2.132911357,FCZ7.Residential.MULTIFAMILY.ResLightingEff,MW
115,9,0,0.82146319,1.21226511,1.4335937719999998,1.640647045,1.886240341,2.187299597,2.5323875240000002,2.858216952,3.1055073639999997,3.282229296,3.5331010430000003,FCZ7.Residential.SINGLEFAMILY.ResLightingEff,MW
